Timestamp,First choice,Second choice,Third choice
3/16/2019 23:43:37,@AlanMCole,@mattyglesias,@scottlincicome
3/16/2019 23:43:42,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:43:54,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:44:09,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:44:17,@AlanMCole,@mattyglesias,@scottlincicome
3/16/2019 23:44:18,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:44:27,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:44:37,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:44:40,@AlanMCole,@scottlincicome,@mattyglesias
3/16/2019 23:44:49,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:45:07,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:45:30,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:45:31,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:45:46,@AlanMCole,@scottlincicome,@mattyglesias
3/16/2019 23:45:50,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:46:43,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:46:53,@mattyglesias,@mattyglesias,@mattyglesias
3/16/2019 23:46:58,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:47:02,@AlanMCole,@scottlincicome,@mattyglesias
3/16/2019 23:47:03,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:47:14,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:47:17,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:47:42,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:47:56,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:48:09,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:48:11,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:48:20,@AlanMCole,@scottlincicome,@mattyglesias
3/16/2019 23:48:21,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:48:27,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:48:27,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:48:34,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:48:36,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:48:55,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:48:56,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:49:01,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:49:09,@AlanMCole,@scottlincicome,@mattyglesias
3/16/2019 23:49:22,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:49:25,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:49:34,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:49:53,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:49:55,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:50:04,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:50:23,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:50:29,@AlanMCole,@scottlincicome,@mattyglesias
3/16/2019 23:50:38,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:50:50,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:51:03,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:51:04,@AlanMCole,@scottlincicome,@mattyglesias
3/16/2019 23:51:12,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:51:39,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:51:40,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:51:54,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:52:03,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:52:14,@AlanMCole,@scottlincicome,@mattyglesias
3/16/2019 23:52:42,@scottlincicome,@mattyglesias,@AlanMCole
3/16/2019 23:52:46,@mattyglesias,@mattyglesias,@mattyglesias
3/16/2019 23:52:46,@AlanMCole,@scottlincicome,@mattyglesias
3/16/2019 23:52:52,@mattyglesias,@mattyglesias,@mattyglesias
3/16/2019 23:52:59,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:53:04,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:53:18,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:53:30,@mattyglesias,@mattyglesias,@mattyglesias
3/16/2019 23:53:31,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:53:46,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:54:08,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:54:30,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:54:48,@AlanMCole,@mattyglesias,@scottlincicome
3/16/2019 23:54:51,@AlanMCole,@scottlincicome,@mattyglesias
